Identificador,Codigo,Distrito,distrito_wikidata
http://www.group10.org/pl/resource/District/D01,01,Centro,<https://wikidata.org/entity/Q1763376>
http://www.group10.org/pl/resource/District/D02,02,Arganzuela,<https://wikidata.org/entity/Q2000929>
http://www.group10.org/pl/resource/District/D03,03,Retiro,<https://wikidata.org/entity/Q2002296>
http://www.group10.org/pl/resource/District/D04,04,Salamanca,<https://wikidata.org/entity/Q1773521>
http://www.group10.org/pl/resource/District/D05,05,Chamartín,<https://wikidata.org/entity/Q1766348>
http://www.group10.org/pl/resource/District/D06,06,Tetuán,<https://wikidata.org/entity/Q1773540>
http://www.group10.org/pl/resource/District/D07,07,Chamberí,<https://wikidata.org/entity/Q1763370>
http://www.group10.org/pl/resource/District/D08,08,Fuencarral-El Pardo,<https://wikidata.org/entity/Q656196>
http://www.group10.org/pl/resource/District/D09,09,Moncloa-Aravaca,<https://wikidata.org/entity/Q2017682>
http://www.group10.org/pl/resource/District/D10,10,Latina,<https://wikidata.org/entity/Q794954>
http://www.group10.org/pl/resource/District/D11,11,Carabanchel,<https://wikidata.org/entity/Q1001991>
http://www.group10.org/pl/resource/District/D15,15,Ciudad Lineal,<https://wikidata.org/entity/Q1763694>
