identifier	species_code	species_name
http://www.group22.org/gz/resource/Specie/S1	1	ACER NEGUNDO
http://www.group22.org/gz/resource/Specie/S2	2	ACER PSEUDOPLATANUS
http://www.group22.org/gz/resource/Specie/S3	3	AESCULUS HIPPOCASTANUM
http://www.group22.org/gz/resource/Specie/S4	4	CATALPA BIGNONIOIDES
http://www.group22.org/gz/resource/Specie/S5	5	CEDRUS DEODARA
http://www.group22.org/gz/resource/Specie/S6	6	CELTIS AUSTRALIS
http://www.group22.org/gz/resource/Specie/S7	7	CERCIS SILIQUASTRUM
http://www.group22.org/gz/resource/Specie/S8	8	CUPRESSUS ARIZONICA
http://www.group22.org/gz/resource/Specie/S9	9	CUPRESSUS SEMPERVIRENS
http://www.group22.org/gz/resource/Specie/S10	10	CUPRESSUS X LEYLANDII
http://www.group22.org/gz/resource/Specie/S11	11	GLEDITSIA TRIACANTHOS
http://www.group22.org/gz/resource/Specie/S12	12	KOELREUTERIA PANICULATA
http://www.group22.org/gz/resource/Specie/S13	13	LIGUSTRUM JAPONICUM
http://www.group22.org/gz/resource/Specie/S14	14	LIQUIDAMBAR STYRACIFLUA
http://www.group22.org/gz/resource/Specie/S15	15	MELIA AZEDARACH
http://www.group22.org/gz/resource/Specie/S16	16	MORUS ALBA
http://www.group22.org/gz/resource/Specie/S17	17	OTROS
http://www.group22.org/gz/resource/Specie/S18	18	PINUS HALEPENSIS
http://www.group22.org/gz/resource/Specie/S19	19	PINUS PINEA
http://www.group22.org/gz/resource/Specie/S20	20	PLATANUS ORIENTALIS
http://www.group22.org/gz/resource/Specie/S21	21	PLATANUS X HISPANICA
http://www.group22.org/gz/resource/Specie/S22	22	POPULUS ALBA
http://www.group22.org/gz/resource/Specie/S23	23	POPULUS ALBA 'BOLLEANA'
http://www.group22.org/gz/resource/Specie/S24	24	POPULUS X CANADENSIS
http://www.group22.org/gz/resource/Specie/S25	25	PRUNUS CERASIFERA
http://www.group22.org/gz/resource/Specie/S26	26	PYRUS CALLERYANA
http://www.group22.org/gz/resource/Specie/S27	27	PRUNUS CERASIFERA  SUBSP. PISSARDII
http://www.group22.org/gz/resource/Specie/S28	28	PYRUS CALLERYANA 'CHANTICLEER'
http://www.group22.org/gz/resource/Specie/S29	29	STYPHNOLOBIUM JAPONICUM
http://www.group22.org/gz/resource/Specie/S30	30	ROBINIA PSEUDOACACIA
http://www.group22.org/gz/resource/Specie/S31	31	ULMUS MINOR
http://www.group22.org/gz/resource/Specie/S32	32	ULMUS PUMILA
http://www.group22.org/gz/resource/Specie/S33	33	ULMUS SP
